Lower tier local authorities Code,Accommodation type (5 categories),Observation
E07000085,Whole house or bungalow: Detached,22023
E07000085,Whole house or bungalow: Semi-detached,13606
E07000085,Whole house or bungalow: Terraced,9185
E07000085,"Flat, maisonette or apartment",7552
E07000085,A caravan or other mobile or temporary structure,353
E07000086,Whole house or bungalow: Detached,18973
E07000086,Whole house or bungalow: Semi-detached,16190
E07000086,Whole house or bungalow: Terraced,12123
E07000086,"Flat, maisonette or apartment",9245
E07000086,A caravan or other mobile or temporary structure,391
E07000087,Whole house or bungalow: Detached,17497
E07000087,Whole house or bungalow: Semi-detached,15670
E07000087,Whole house or bungalow: Terraced,8909
E07000087,"Flat, maisonette or apartment",6355
E07000087,A caravan or other mobile or temporary structure,208
E07000088,Whole house or bungalow: Detached,4824
E07000088,Whole house or bungalow: Semi-detached,9877
E07000088,Whole house or bungalow: Terraced,12601
E07000088,"Flat, maisonette or apartment",8462
E07000088,A caravan or other mobile or temporary structure,158
E07000089,Whole house or bungalow: Detached,16982
E07000089,Whole house or bungalow: Semi-detached,10238
E07000089,Whole house or bungalow: Terraced,7273
E07000089,"Flat, maisonette or apartment",5263
E07000089,A caravan or other mobile or temporary structure,210
E07000090,Whole house or bungalow: Detached,15181
E07000090,Whole house or bungalow: Semi-detached,15840
E07000090,Whole house or bungalow: Terraced,12241
E07000090,"Flat, maisonette or apartment",10137
E07000090,A caravan or other mobile or temporary structure,190
E07000091,Whole house or bungalow: Detached,35214
E07000091,Whole house or bungalow: Semi-detached,18667
E07000091,Whole house or bungalow: Terraced,11841
E07000091,"Flat, maisonette or apartment",10590
E07000091,A caravan or other mobile or temporary structure,1254
E07000092,Whole house or bungalow: Detached,6491
E07000092,Whole house or bungalow: Semi-detached,12597
E07000092,Whole house or bungalow: Terraced,9238
E07000092,"Flat, maisonette or apartment",10801
E07000092,A caravan or other mobile or temporary structure,176
E07000093,Whole house or bungalow: Detached,20554
E07000093,Whole house or bungalow: Semi-detached,14714
E07000093,Whole house or bungalow: Terraced,11883
E07000093,"Flat, maisonette or apartment",7164
E07000093,A caravan or other mobile or temporary structure,393
E07000094,Whole house or bungalow: Detached,18714
E07000094,Whole house or bungalow: Semi-detached,13334
E07000094,Whole house or bungalow: Terraced,10372
E07000094,"Flat, maisonette or apartment",8612
E07000094,A caravan or other mobile or temporary structure,683
E07000095,Whole house or bungalow: Detached,6102
E07000095,Whole house or bungalow: Semi-detached,11538
E07000095,Whole house or bungalow: Terraced,11710
E07000095,"Flat, maisonette or apartment",10331
E07000095,A caravan or other mobile or temporary structure,169
E07000096,Whole house or bungalow: Detached,13526
E07000096,Whole house or bungalow: Semi-detached,15876
E07000096,Whole house or bungalow: Terraced,18918
E07000096,"Flat, maisonette or apartment",14799
E07000096,A caravan or other mobile or temporary structure,293
E07000098,Whole house or bungalow: Detached,7985
E07000098,Whole house or bungalow: Semi-detached,13839
E07000098,Whole house or bungalow: Terraced,8700
E07000098,"Flat, maisonette or apartment",11977
E07000098,A caravan or other mobile or temporary structure,181
E07000099,Whole house or bungalow: Detached,13776
E07000099,Whole house or bungalow: Semi-detached,17305
E07000099,Whole house or bungalow: Terraced,13939
E07000099,"Flat, maisonette or apartment",11364
E07000099,A caravan or other mobile or temporary structure,348
E07000102,Whole house or bungalow: Detached,9584
E07000102,Whole house or bungalow: Semi-detached,12976
E07000102,Whole house or bungalow: Terraced,6801
E07000102,"Flat, maisonette or apartment",7227
E07000102,A caravan or other mobile or temporary structure,270
E07000103,Whole house or bungalow: Detached,4152
E07000103,Whole house or bungalow: Semi-detached,11135
E07000103,Whole house or bungalow: Terraced,9839
E07000103,"Flat, maisonette or apartment",14479
E07000103,A caravan or other mobile or temporary structure,23
E07000105,Whole house or bungalow: Detached,17509
E07000105,Whole house or bungalow: Semi-detached,16430
E07000105,Whole house or bungalow: Terraced,11909
E07000105,"Flat, maisonette or apartment",7019
E07000105,A caravan or other mobile or temporary structure,713
E07000106,Whole house or bungalow: Detached,20082
E07000106,Whole house or bungalow: Semi-detached,19750
E07000106,Whole house or bungalow: Terraced,11055
E07000106,"Flat, maisonette or apartment",12205
E07000106,A caravan or other mobile or temporary structure,701
E07000107,Whole house or bungalow: Detached,6025
E07000107,Whole house or bungalow: Semi-detached,14398
E07000107,Whole house or bungalow: Terraced,14103
E07000107,"Flat, maisonette or apartment",11031
E07000107,A caravan or other mobile or temporary structure,139
E07000108,Whole house or bungalow: Detached,11828
E07000108,Whole house or bungalow: Semi-detached,15695
E07000108,Whole house or bungalow: Terraced,14112
E07000108,"Flat, maisonette or apartment",8572
E07000108,A caravan or other mobile or temporary structure,341
E07000109,Whole house or bungalow: Detached,6837
E07000109,Whole house or bungalow: Semi-detached,13799
E07000109,Whole house or bungalow: Terraced,12511
E07000109,"Flat, maisonette or apartment",8437
E07000109,A caravan or other mobile or temporary structure,140
E07000110,Whole house or bungalow: Detached,18444
E07000110,Whole house or bungalow: Semi-detached,23687
E07000110,Whole house or bungalow: Terraced,15768
E07000110,"Flat, maisonette or apartment",12478
E07000110,A caravan or other mobile or temporary structure,831
E07000111,Whole house or bungalow: Detached,16223
E07000111,Whole house or bungalow: Semi-detached,14044
E07000111,Whole house or bungalow: Terraced,10962
E07000111,"Flat, maisonette or apartment",7199
E07000111,A caravan or other mobile or temporary structure,585
E07000112,Whole house or bungalow: Detached,13262
E07000112,Whole house or bungalow: Semi-detached,12566
E07000112,Whole house or bungalow: Terraced,10438
E07000112,"Flat, maisonette or apartment",11838
E07000112,A caravan or other mobile or temporary structure,234
E07000113,Whole house or bungalow: Detached,14477
E07000113,Whole house or bungalow: Semi-detached,20406
E07000113,Whole house or bungalow: Terraced,18041
E07000113,"Flat, maisonette or apartment",6989
E07000113,A caravan or other mobile or temporary structure,582
E07000114,Whole house or bungalow: Detached,12622
E07000114,Whole house or bungalow: Semi-detached,18441
E07000114,Whole house or bungalow: Terraced,13778
E07000114,"Flat, maisonette or apartment",16887
E07000114,A caravan or other mobile or temporary structure,472
E07000115,Whole house or bungalow: Detached,14478
E07000115,Whole house or bungalow: Semi-detached,19843
E07000115,Whole house or bungalow: Terraced,11506
E07000115,"Flat, maisonette or apartment",7502
E07000115,A caravan or other mobile or temporary structure,244
E07000116,Whole house or bungalow: Detached,13128
E07000116,Whole house or bungalow: Semi-detached,14606
E07000116,Whole house or bungalow: Terraced,8381
E07000116,"Flat, maisonette or apartment",11940
E07000116,A caravan or other mobile or temporary structure,169
E07000117,Whole house or bungalow: Detached,5650
E07000117,Whole house or bungalow: Semi-detached,11921
E07000117,Whole house or bungalow: Terraced,18580
E07000117,"Flat, maisonette or apartment",3620
E07000117,A caravan or other mobile or temporary structure,101
E07000118,Whole house or bungalow: Detached,16018
E07000118,Whole house or bungalow: Semi-detached,16548
E07000118,Whole house or bungalow: Terraced,12683
E07000118,"Flat, maisonette or apartment",4687
E07000118,A caravan or other mobile or temporary structure,196
E07000119,Whole house or bungalow: Detached,11067
E07000119,Whole house or bungalow: Semi-detached,12061
E07000119,Whole house or bungalow: Terraced,6262
E07000119,"Flat, maisonette or apartment",7583
E07000119,A caravan or other mobile or temporary structure,632
E07000120,Whole house or bungalow: Detached,4409
E07000120,Whole house or bungalow: Semi-detached,9518
E07000120,Whole house or bungalow: Terraced,17536
E07000120,"Flat, maisonette or apartment",3191
E07000120,A caravan or other mobile or temporary structure,136
E07000121,Whole house or bungalow: Detached,11657
E07000121,Whole house or bungalow: Semi-detached,22823
E07000121,Whole house or bungalow: Terraced,15302
E07000121,"Flat, maisonette or apartment",9549
E07000121,A caravan or other mobile or temporary structure,649
E07000122,Whole house or bungalow: Detached,5516
E07000122,Whole house or bungalow: Semi-detached,9318
E07000122,Whole house or bungalow: Terraced,20064
E07000122,"Flat, maisonette or apartment",3048
E07000122,A caravan or other mobile or temporary structure,120
E07000123,Whole house or bungalow: Detached,11348
E07000123,Whole house or bungalow: Semi-detached,20358
E07000123,Whole house or bungalow: Terraced,17431
E07000123,"Flat, maisonette or apartment",10420
E07000123,A caravan or other mobile or temporary structure,50
E07000124,Whole house or bungalow: Detached,9217
E07000124,Whole house or bungalow: Semi-detached,7659
E07000124,Whole house or bungalow: Terraced,7558
E07000124,"Flat, maisonette or apartment",2021
E07000124,A caravan or other mobile or temporary structure,292
E07000125,Whole house or bungalow: Detached,6634
E07000125,Whole house or bungalow: Semi-detached,8041
E07000125,Whole house or bungalow: Terraced,12675
E07000125,"Flat, maisonette or apartment",3127
E07000125,A caravan or other mobile or temporary structure,85
E07000126,Whole house or bungalow: Detached,14458
E07000126,Whole house or bungalow: Semi-detached,21651
E07000126,Whole house or bungalow: Terraced,8169
E07000126,"Flat, maisonette or apartment",4124
E07000126,A caravan or other mobile or temporary structure,186
E07000127,Whole house or bungalow: Detached,14794
E07000127,Whole house or bungalow: Semi-detached,18277
E07000127,Whole house or bungalow: Terraced,10184
E07000127,"Flat, maisonette or apartment",4724
E07000127,A caravan or other mobile or temporary structure,554
E07000128,Whole house or bungalow: Detached,15200
E07000128,Whole house or bungalow: Semi-detached,20436
E07000128,Whole house or bungalow: Terraced,8738
E07000128,"Flat, maisonette or apartment",5251
E07000128,A caravan or other mobile or temporary structure,1142
E07000129,Whole house or bungalow: Detached,16122
E07000129,Whole house or bungalow: Semi-detached,19474
E07000129,Whole house or bungalow: Terraced,4290
E07000129,"Flat, maisonette or apartment",2566
E07000129,A caravan or other mobile or temporary structure,123
E07000130,Whole house or bungalow: Detached,23765
E07000130,Whole house or bungalow: Semi-detached,28527
E07000130,Whole house or bungalow: Terraced,13215
E07000130,"Flat, maisonette or apartment",7880
E07000130,A caravan or other mobile or temporary structure,398
E07000131,Whole house or bungalow: Detached,19739
E07000131,Whole house or bungalow: Semi-detached,11794
E07000131,Whole house or bungalow: Terraced,5815
E07000131,"Flat, maisonette or apartment",2817
E07000131,A caravan or other mobile or temporary structure,248
E07000132,Whole house or bungalow: Detached,18712
E07000132,Whole house or bungalow: Semi-detached,18659
E07000132,Whole house or bungalow: Terraced,7741
E07000132,"Flat, maisonette or apartment",4166
E07000132,A caravan or other mobile or temporary structure,168
E07000133,Whole house or bungalow: Detached,9346
E07000133,Whole house or bungalow: Semi-detached,8216
E07000133,Whole house or bungalow: Terraced,3349
E07000133,"Flat, maisonette or apartment",1617
E07000133,A caravan or other mobile or temporary structure,69
E07000134,Whole house or bungalow: Detached,18472
E07000134,Whole house or bungalow: Semi-detached,15690
E07000134,Whole house or bungalow: Terraced,7550
E07000134,"Flat, maisonette or apartment",2888
E07000134,A caravan or other mobile or temporary structure,373
E07000135,Whole house or bungalow: Detached,6776
E07000135,Whole house or bungalow: Semi-detached,10683
E07000135,Whole house or bungalow: Terraced,3253
E07000135,"Flat, maisonette or apartment",1896
E07000135,A caravan or other mobile or temporary structure,8
E07000136,Whole house or bungalow: Detached,12566
E07000136,Whole house or bungalow: Semi-detached,9540
E07000136,Whole house or bungalow: Terraced,3833
E07000136,"Flat, maisonette or apartment",3321
E07000136,A caravan or other mobile or temporary structure,144
E07000137,Whole house or bungalow: Detached,32593
E07000137,Whole house or bungalow: Semi-detached,17833
E07000137,Whole house or bungalow: Terraced,7114
E07000137,"Flat, maisonette or apartment",5847
E07000137,A caravan or other mobile or temporary structure,1367
E07000138,Whole house or bungalow: Detached,8452
E07000138,Whole house or bungalow: Semi-detached,13061
E07000138,Whole house or bungalow: Terraced,12602
E07000138,"Flat, maisonette or apartment",8364
E07000138,A caravan or other mobile or temporary structure,28
E07000139,Whole house or bungalow: Detached,27549
E07000139,Whole house or bungalow: Semi-detached,15521
E07000139,Whole house or bungalow: Terraced,5282
E07000139,"Flat, maisonette or apartment",2144
E07000139,A caravan or other mobile or temporary structure,493
E07000140,Whole house or bungalow: Detached,21870
E07000140,Whole house or bungalow: Semi-detached,12661
E07000140,Whole house or bungalow: Terraced,3943
E07000140,"Flat, maisonette or apartment",2009
E07000140,A caravan or other mobile or temporary structure,220
E07000141,Whole house or bungalow: Detached,26261
E07000141,Whole house or bungalow: Semi-detached,19391
E07000141,Whole house or bungalow: Terraced,10994
E07000141,"Flat, maisonette or apartment",5479
E07000141,A caravan or other mobile or temporary structure,724
E07000142,Whole house or bungalow: Detached,20995
E07000142,Whole house or bungalow: Semi-detached,11472
E07000142,Whole house or bungalow: Terraced,7014
E07000142,"Flat, maisonette or apartment",2192
E07000142,A caravan or other mobile or temporary structure,672
E07000143,Whole house or bungalow: Detached,28226
E07000143,Whole house or bungalow: Semi-detached,17941
E07000143,Whole house or bungalow: Terraced,9687
E07000143,"Flat, maisonette or apartment",4226
E07000143,A caravan or other mobile or temporary structure,278
E07000144,Whole house or bungalow: Detached,26440
E07000144,Whole house or bungalow: Semi-detached,21802
E07000144,Whole house or bungalow: Terraced,6131
E07000144,"Flat, maisonette or apartment",2992
E07000144,A caravan or other mobile or temporary structure,398
E07000145,Whole house or bungalow: Detached,13479
E07000145,Whole house or bungalow: Semi-detached,10908
E07000145,Whole house or bungalow: Terraced,12613
E07000145,"Flat, maisonette or apartment",6937
E07000145,A caravan or other mobile or temporary structure,607
E07000146,Whole house or bungalow: Detached,29872
E07000146,Whole house or bungalow: Semi-detached,21161
E07000146,Whole house or bungalow: Terraced,9652
E07000146,"Flat, maisonette or apartment",6250
E07000146,A caravan or other mobile or temporary structure,528
E07000147,Whole house or bungalow: Detached,21614
E07000147,Whole house or bungalow: Semi-detached,14583
E07000147,Whole house or bungalow: Terraced,6963
E07000147,"Flat, maisonette or apartment",4895
E07000147,A caravan or other mobile or temporary structure,318
E07000148,Whole house or bungalow: Detached,6612
E07000148,Whole house or bungalow: Semi-detached,14029
E07000148,Whole house or bungalow: Terraced,20606
E07000148,"Flat, maisonette or apartment",23136
E07000148,A caravan or other mobile or temporary structure,76
E07000149,Whole house or bungalow: Detached,30430
E07000149,Whole house or bungalow: Semi-detached,19062
E07000149,Whole house or bungalow: Terraced,7674
E07000149,"Flat, maisonette or apartment",4023
E07000149,A caravan or other mobile or temporary structure,192
E07000163,Whole house or bungalow: Detached,6724
E07000163,Whole house or bungalow: Semi-detached,7563
E07000163,Whole house or bungalow: Terraced,8936
E07000163,"Flat, maisonette or apartment",2607
E07000163,A caravan or other mobile or temporary structure,239
E07000164,Whole house or bungalow: Detached,17377
E07000164,Whole house or bungalow: Semi-detached,12527
E07000164,Whole house or bungalow: Terraced,7817
E07000164,"Flat, maisonette or apartment",2919
E07000164,A caravan or other mobile or temporary structure,162
E07000165,Whole house or bungalow: Detached,22880
E07000165,Whole house or bungalow: Semi-detached,21976
E07000165,Whole house or bungalow: Terraced,13760
E07000165,"Flat, maisonette or apartment",11867
E07000165,A caravan or other mobile or temporary structure,686
E07000166,Whole house or bungalow: Detached,7497
E07000166,Whole house or bungalow: Semi-detached,7515
E07000166,Whole house or bungalow: Terraced,4226
E07000166,"Flat, maisonette or apartment",1624
E07000166,A caravan or other mobile or temporary structure,82
E07000167,Whole house or bungalow: Detached,10135
E07000167,Whole house or bungalow: Semi-detached,8124
E07000167,Whole house or bungalow: Terraced,4537
E07000167,"Flat, maisonette or apartment",1811
E07000167,A caravan or other mobile or temporary structure,107
E07000168,Whole house or bungalow: Detached,11922
E07000168,Whole house or bungalow: Semi-detached,17274
E07000168,Whole house or bungalow: Terraced,10684
E07000168,"Flat, maisonette or apartment",11192
E07000168,A caravan or other mobile or temporary structure,51
E07000169,Whole house or bungalow: Detached,16243
E07000169,Whole house or bungalow: Semi-detached,13615
E07000169,Whole house or bungalow: Terraced,6841
E07000169,"Flat, maisonette or apartment",2739
E07000169,A caravan or other mobile or temporary structure,122
E07000170,Whole house or bungalow: Detached,16512
E07000170,Whole house or bungalow: Semi-detached,22942
E07000170,Whole house or bungalow: Terraced,10598
E07000170,"Flat, maisonette or apartment",4405
E07000170,A caravan or other mobile or temporary structure,51
E07000171,Whole house or bungalow: Detached,18078
E07000171,Whole house or bungalow: Semi-detached,21301
E07000171,Whole house or bungalow: Terraced,8111
E07000171,"Flat, maisonette or apartment",3698
E07000171,A caravan or other mobile or temporary structure,269
E07000172,Whole house or bungalow: Detached,17519
E07000172,Whole house or bungalow: Semi-detached,17392
E07000172,Whole house or bungalow: Terraced,7816
E07000172,"Flat, maisonette or apartment",5548
E07000172,A caravan or other mobile or temporary structure,88
E07000173,Whole house or bungalow: Detached,20119
E07000173,Whole house or bungalow: Semi-detached,17741
E07000173,Whole house or bungalow: Terraced,7672
E07000173,"Flat, maisonette or apartment",5798
E07000173,A caravan or other mobile or temporary structure,222
E07000174,Whole house or bungalow: Detached,14594
E07000174,Whole house or bungalow: Semi-detached,20776
E07000174,Whole house or bungalow: Terraced,8028
E07000174,"Flat, maisonette or apartment",4503
E07000174,A caravan or other mobile or temporary structure,129
E07000175,Whole house or bungalow: Detached,20332
E07000175,Whole house or bungalow: Semi-detached,19829
E07000175,Whole house or bungalow: Terraced,8390
E07000175,"Flat, maisonette or apartment",4427
E07000175,A caravan or other mobile or temporary structure,350
E07000176,Whole house or bungalow: Detached,23373
E07000176,Whole house or bungalow: Semi-detached,15394
E07000176,Whole house or bungalow: Terraced,5600
E07000176,"Flat, maisonette or apartment",5130
E07000176,A caravan or other mobile or temporary structure,386
E07000177,Whole house or bungalow: Detached,20046
E07000177,Whole house or bungalow: Semi-detached,23194
E07000177,Whole house or bungalow: Terraced,14268
E07000177,"Flat, maisonette or apartment",8127
E07000177,A caravan or other mobile or temporary structure,262
E07000178,Whole house or bungalow: Detached,5257
E07000178,Whole house or bungalow: Semi-detached,17531
E07000178,Whole house or bungalow: Terraced,15353
E07000178,"Flat, maisonette or apartment",16968
E07000178,A caravan or other mobile or temporary structure,129
E07000179,Whole house or bungalow: Detached,21670
E07000179,Whole house or bungalow: Semi-detached,20433
E07000179,Whole house or bungalow: Terraced,11348
E07000179,"Flat, maisonette or apartment",7116
E07000179,A caravan or other mobile or temporary structure,930
E07000180,Whole house or bungalow: Detached,21151
E07000180,Whole house or bungalow: Semi-detached,17558
E07000180,Whole house or bungalow: Terraced,10387
E07000180,"Flat, maisonette or apartment",7866
E07000180,A caravan or other mobile or temporary structure,536
E07000181,Whole house or bungalow: Detached,16180
E07000181,Whole house or bungalow: Semi-detached,16129
E07000181,Whole house or bungalow: Terraced,10215
E07000181,"Flat, maisonette or apartment",5126
E07000181,A caravan or other mobile or temporary structure,331
E07000187,Whole house or bungalow: Detached,16137
E07000187,Whole house or bungalow: Semi-detached,16078
E07000187,Whole house or bungalow: Terraced,11918
E07000187,"Flat, maisonette or apartment",5944
E07000187,A caravan or other mobile or temporary structure,217
E07000188,Whole house or bungalow: Detached,17703
E07000188,Whole house or bungalow: Semi-detached,17416
E07000188,Whole house or bungalow: Terraced,11565
E07000188,"Flat, maisonette or apartment",6582
E07000188,A caravan or other mobile or temporary structure,635
E07000189,Whole house or bungalow: Detached,25568
E07000189,Whole house or bungalow: Semi-detached,23944
E07000189,Whole house or bungalow: Terraced,17476
E07000189,"Flat, maisonette or apartment",8362
E07000189,A caravan or other mobile or temporary structure,586
E07000192,Whole house or bungalow: Detached,13006
E07000192,Whole house or bungalow: Semi-detached,20293
E07000192,Whole house or bungalow: Terraced,5183
E07000192,"Flat, maisonette or apartment",4921
E07000192,A caravan or other mobile or temporary structure,54
E07000193,Whole house or bungalow: Detached,16885
E07000193,Whole house or bungalow: Semi-detached,16661
E07000193,Whole house or bungalow: Terraced,11542
E07000193,"Flat, maisonette or apartment",6045
E07000193,A caravan or other mobile or temporary structure,160
E07000194,Whole house or bungalow: Detached,17278
E07000194,Whole house or bungalow: Semi-detached,16135
E07000194,Whole house or bungalow: Terraced,6477
E07000194,"Flat, maisonette or apartment",5480
E07000194,A caravan or other mobile or temporary structure,260
E07000195,Whole house or bungalow: Detached,13642
E07000195,Whole house or bungalow: Semi-detached,23932
E07000195,Whole house or bungalow: Terraced,10341
E07000195,"Flat, maisonette or apartment",5439
E07000195,A caravan or other mobile or temporary structure,69
E07000196,Whole house or bungalow: Detached,18240
E07000196,Whole house or bungalow: Semi-detached,18073
E07000196,Whole house or bungalow: Terraced,4957
E07000196,"Flat, maisonette or apartment",4072
E07000196,A caravan or other mobile or temporary structure,779
E07000197,Whole house or bungalow: Detached,23097
E07000197,Whole house or bungalow: Semi-detached,19639
E07000197,Whole house or bungalow: Terraced,9835
E07000197,"Flat, maisonette or apartment",7134
E07000197,A caravan or other mobile or temporary structure,343
E07000198,Whole house or bungalow: Detached,17251
E07000198,Whole house or bungalow: Semi-detached,16034
E07000198,Whole house or bungalow: Terraced,6660
E07000198,"Flat, maisonette or apartment",2319
E07000198,A caravan or other mobile or temporary structure,91
E07000199,Whole house or bungalow: Detached,8763
E07000199,Whole house or bungalow: Semi-detached,12665
E07000199,Whole house or bungalow: Terraced,7052
E07000199,"Flat, maisonette or apartment",4273
E07000199,A caravan or other mobile or temporary structure,142
E07000200,Whole house or bungalow: Detached,16778
E07000200,Whole house or bungalow: Semi-detached,12119
E07000200,Whole house or bungalow: Terraced,8293
E07000200,"Flat, maisonette or apartment",2890
E07000200,A caravan or other mobile or temporary structure,120
E07000202,Whole house or bungalow: Detached,8429
E07000202,Whole house or bungalow: Semi-detached,22907
E07000202,Whole house or bungalow: Terraced,13267
E07000202,"Flat, maisonette or apartment",14831
E07000202,A caravan or other mobile or temporary structure,70
E07000203,Whole house or bungalow: Detached,20822
E07000203,Whole house or bungalow: Semi-detached,14437
E07000203,Whole house or bungalow: Terraced,6041
E07000203,"Flat, maisonette or apartment",2705
E07000203,A caravan or other mobile or temporary structure,338
E07000207,Whole house or bungalow: Detached,18146
E07000207,Whole house or bungalow: Semi-detached,14384
E07000207,Whole house or bungalow: Terraced,9232
E07000207,"Flat, maisonette or apartment",13779
E07000207,A caravan or other mobile or temporary structure,49
E07000208,Whole house or bungalow: Detached,8273
E07000208,Whole house or bungalow: Semi-detached,10935
E07000208,Whole house or bungalow: Terraced,4144
E07000208,"Flat, maisonette or apartment",7949
E07000208,A caravan or other mobile or temporary structure,20
E07000209,Whole house or bungalow: Detached,18664
E07000209,Whole house or bungalow: Semi-detached,18188
E07000209,Whole house or bungalow: Terraced,7588
E07000209,"Flat, maisonette or apartment",10856
E07000209,A caravan or other mobile or temporary structure,465
E07000210,Whole house or bungalow: Detached,13978
E07000210,Whole house or bungalow: Semi-detached,10417
E07000210,Whole house or bungalow: Terraced,4445
E07000210,"Flat, maisonette or apartment",7580
E07000210,A caravan or other mobile or temporary structure,719
E07000211,Whole house or bungalow: Detached,16679
E07000211,Whole house or bungalow: Semi-detached,17720
E07000211,Whole house or bungalow: Terraced,9596
E07000211,"Flat, maisonette or apartment",15506
E07000211,A caravan or other mobile or temporary structure,348
E07000212,Whole house or bungalow: Detached,9032
E07000212,Whole house or bungalow: Semi-detached,11190
E07000212,Whole house or bungalow: Terraced,5369
E07000212,"Flat, maisonette or apartment",8206
E07000212,A caravan or other mobile or temporary structure,1044
E07000213,Whole house or bungalow: Detached,7958
E07000213,Whole house or bungalow: Semi-detached,14290
E07000213,Whole house or bungalow: Terraced,8235
E07000213,"Flat, maisonette or apartment",11043
E07000213,A caravan or other mobile or temporary structure,278
E07000214,Whole house or bungalow: Detached,15738
E07000214,Whole house or bungalow: Semi-detached,9152
E07000214,Whole house or bungalow: Terraced,4481
E07000214,"Flat, maisonette or apartment",6423
E07000214,A caravan or other mobile or temporary structure,211
E07000215,Whole house or bungalow: Detached,12692
E07000215,Whole house or bungalow: Semi-detached,9916
E07000215,Whole house or bungalow: Terraced,4844
E07000215,"Flat, maisonette or apartment",7856
E07000215,A caravan or other mobile or temporary structure,315
E07000216,Whole house or bungalow: Detached,21167
E07000216,Whole house or bungalow: Semi-detached,14422
E07000216,Whole house or bungalow: Terraced,7463
E07000216,"Flat, maisonette or apartment",9202
E07000216,A caravan or other mobile or temporary structure,193
E07000217,Whole house or bungalow: Detached,12637
E07000217,Whole house or bungalow: Semi-detached,10246
E07000217,Whole house or bungalow: Terraced,7661
E07000217,"Flat, maisonette or apartment",10778
E07000217,A caravan or other mobile or temporary structure,117
E07000218,Whole house or bungalow: Detached,7965
E07000218,Whole house or bungalow: Semi-detached,10828
E07000218,Whole house or bungalow: Terraced,6227
E07000218,"Flat, maisonette or apartment",2428
E07000218,A caravan or other mobile or temporary structure,131
E07000219,Whole house or bungalow: Detached,14120
E07000219,Whole house or bungalow: Semi-detached,21569
E07000219,Whole house or bungalow: Terraced,13649
E07000219,"Flat, maisonette or apartment",7042
E07000219,A caravan or other mobile or temporary structure,207
E07000220,Whole house or bungalow: Detached,14350
E07000220,Whole house or bungalow: Semi-detached,15938
E07000220,Whole house or bungalow: Terraced,10615
E07000220,"Flat, maisonette or apartment",5934
E07000220,A caravan or other mobile or temporary structure,176
E07000221,Whole house or bungalow: Detached,22562
E07000221,Whole house or bungalow: Semi-detached,18740
E07000221,Whole house or bungalow: Terraced,10693
E07000221,"Flat, maisonette or apartment",6627
E07000221,A caravan or other mobile or temporary structure,842
E07000222,Whole house or bungalow: Detached,16000
E07000222,Whole house or bungalow: Semi-detached,20010
E07000222,Whole house or bungalow: Terraced,13086
E07000222,"Flat, maisonette or apartment",13372
E07000222,A caravan or other mobile or temporary structure,151
E07000223,Whole house or bungalow: Detached,5030
E07000223,Whole house or bungalow: Semi-detached,10567
